-26.9202 25.9559 511.608 
-29.4037 19.1054 512.102 
-28.1111 9.6394 512.925 
-27.7333 8.95234 512.837 
-27.0584 1.88363 514.155 
-26.8264 1.12387 514.011 
-17.1608 -12.0534 515.469 
-16.3297 -11.8719 515.228 
-9.3764 -10.5028 516.068 
-8.55395 -10.2954 516.279 
-1.12286 -9.91072 516.83 
-0.370954 -9.70095 517.009 
6.55055 -8.84869 517.426 
6.95735 37.8258 514.232 
-0.742664 38.6459 513.688 
-1.41381 38.8439 513.606 
-8.94633 38.9513 513.168 
-9.60856 39.2309 512.649 
-9.53067 9.50083 516.235 
-1.57424 9.54463 517.244 
-9.6048 17.5717 516.289 
-1.7245 17.6636 517.314 
-24.6872 -6.37187 514.598 
-25.1463 33.3392 511.949 
14.8374 33.8719 515.302 
14.8543 -6.02055 518.342 
